Ano,População,Taxa de crescimento
1951,54 790 134,N/A %
1952,56 455 157,3.04 %
1953,58 179 020,3.05 %
1954,59 946 025,3.04 %
1955,61 747 383,3.00 %
1956,63 581 429,2.97 %
1957,65 453 618,2.94 %
1958,67 375 687,2.94 %
1959,69 363 982,2.95 %
1960,71 435 269,2.99 %
1961,73 600 237,3.03 %
1962,75 857 219,3.07 %
1963,78 188 001,3.07 %
1964,80 560 128,3.03 %
1965,82 940 932,2.96 %
1966,85 312 524,2.86 %
1967,87 674 333,2.77 %
1968,90 033 344,2.69 %
1969,92 399 378,2.63 %
1970,94 784 100,2.58 %
1971,97 192 327,2.54 %
1972,99 623 296,2.50 %
1973,102 082 589,2.47 %
1974,104 583 531,2.45 %
1975,107 138 779,2.44 %
1976,109 753 674,2.44 %
1977,112 426 265,2.44 %
1978,115 154 310,2.43 %
1979,117 936 799,2.42 %
1980,120 770 583,2.40 %
1981,123 653 552,2.39 %
1982,126 581 070,2.37 %
1983,129 534 547,2.33 %
1984,132 482 444,2.28 %
1985,135 393 490,2.20 %
1986,138 250 534,2.11 %
1987,141 051 059,2.03 %
1988,143 793 974,1.94 %
1989,146 476 142,1.87 %
1990,149 097 480,1.79 %
1991,151 654 998,1.72 %
1992,154 147 931,1.64 %
1993,156 595 615,1.59 %
1994,159 036 364,1.56 %
1995,161 507 781,1.55 %
1996,164 029 105,1.56 %
1997,166 598 495,1.57 %
1998,169 205 159,1.56 %
1999,171 834 774,1.55 %
2000,174 469 754,1.53 %
2001,177 102 919,1.51 %
2002,179 732 494,1.48 %
2003,182 336 466,1.45 %
2004,184 871 851,1.39 %
2005,187 297 802,1.31 %
2006,189 588 741,1.22 %
2007,191 741 381,1.14 %
2008,193 777 109,1.06 %
2009,195 735 497,1.01 %
2010,197 657 753,0.98 %
2011,199 565 896,0.97 %
2012,201 459 584,0.95 %
2013,203 330 481,0.93 %
2014,205 168 638,0.90 %
2015,206 962 713,0.87 %
2016,208 846 074,0.91 %
2017,210 746 573,0.91 %
2018,212 664 367,0.91 %
